ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Returned
73,E,Ship,2,4,674.57,17,medium,Male,19.13,678,0
74,B,Flight,1,3,340.15,8,high,Female,3.32,2679,1
75,E,Flight,0,1,576.83,13,high,Male,20.1,4346,0
76,B,Road,4,4,306.46,12,high,Female,27.08,4088,0
77,A,Flight,2,5,785.92,13,low,Female,29.14,2141,1
78,D,Flight,9,4,319.26,18,high,Female,17.99,1512,1
79,D,Flight,7,1,539.64,16,high,Male,9.81,3735,0
80,D,Ship,5,2,32.94,7,medium,Female,16.9,1324,0
81,E,Ship,9,2,793.81,3,low,Male,0.09,310,1
82,A,Ship,8,2,624.13,8,high,Male,27.58,680,0
83,E,Road,8,1,200.31,10,medium,Male,23.54,1831,0
84,E,Road,5,2,223.22,6,medium,Female,4.99,4661,0
85,A,Road,1,2,269.87,14,high,Female,18.28,4840,1
86,A,Ship,8,1,580.76,17,low,Male,0.62,4426,0
87,A,Flight,1,5,552.83,19,low,Male,6.48,2736,0
88,A,Road,2,4,281.13,4,high,Male,5.1,353,1
89,D,Road,5,1,697.12,15,high,Female,4.68,2877,0
90,C,Ship,1,1,890.15,11,high,Female,16.56,1331,0
91,C,Road,4,3,53.08,16,low,Female,28.93,166,0
92,A,Flight,1,2,423.02,14,low,Male,3.91,1959,0
93,C,Ship,3,5,597.58,18,medium,Male,26.18,3028,0
94,C,Ship,2,3,590.57,6,medium,Male,2.47,2198,1
95,A,Flight,4,5,29.34,11,low,Male,2.49,2960,0
96,C,Flight,5,2,218.46,16,medium,Female,18.84,4080,1
97,E,Flight,6,2,71.21,6,low,Female,17.24,4942,1
98,B,Road,9,2,573.28,10,medium,Female,10.33,3960,1
99,B,Flight,7,4,648.94,0,high,Male,16.0,3070,0
100,A,Ship,8,5,168.14,16,low,Male,22.65,180,0
101,D,Flight,3,5,339.68,6,medium,Male,23.2,3187,0
102,A,Ship,3,3,336.51,1,high,Female,0.36,4343,0
103,D,Ship,6,1,821.6,10,medium,Male,2.34,483,1
104,B,Road,9,2,202.71,15,medium,Male,0.1,3604,0
105,A,Flight,9,2,552.83,14,high,Male,0.47,3499,0
106,E,Road,8,3,785.11,7,high,Male,25.19,3985,0
107,C,Flight,1,5,831.28,14,low,Male,2.51,2761,0
108,D,Flight,5,4,669.9,6,medium,Female,21.33,3672,1
109,C,Flight,9,5,306.53,4,high,Male,29.4,4769,1
110,C,Flight,9,4,824.82,7,medium,Male,24.63,2523,0
111,A,Flight,7,4,744.74,1,high,Male,1.99,4355,1
112,C,Ship,4,5,707.42,5,low,Male,26.82,2416,0
113,E,Ship,4,2,76.66,3,high,Female,28.75,2925,0
114,C,Flight,7,4,52.83,6,medium,Male,21.19,1567,0
115,A,Ship,0,3,698.41,5,medium,Female,18.49,1568,0
116,E,Road,5,3,945.35,4,low,Female,18.05,2717,1
117,B,Road,9,4,775.99,4,low,Female,24.61,855,0
118,C,Road,8,2,833.16,17,high,Female,16.6,2397,1
119,A,Flight,5,4,549.53,10,high,Female,10.01,2527,0
120,B,Flight,6,3,311.54,7,medium,Female,29.11,2977,0
121,B,Ship,3,3,680.96,19,high,Male,1.45,1808,0
122,D,Ship,9,5,714.85,10,low,Male,19.96,3198,0
123,E,Ship,0,2,678.6,18,high,Female,17.57,3128,1
124,C,Road,8,5,947.24,18,low,Female,19.17,1934,0
125,A,Road,5,1,373.51,1,medium,Female,19.27,2687,0
126,D,Road,2,4,49.26,9,high,Male,3.71,261,0
127,E,Road,3,5,909.36,6,low,Male,4.01,4990,0
128,D,Ship,9,2,168.89,11,high,Female,2.02,3954,0
129,E,Flight,5,4,700.35,1,low,Female,28.15,616,0
130,E,Flight,5,4,874.47,6,low,Male,18.3,3491,1
131,C,Road,8,4,317.04,18,low,Male,2.31,2460,1
132,E,Flight,3,4,832.11,0,high,Female,13.01,4946,0
133,D,Flight,4,4,338.74,10,low,Female,10.78,1621,0
134,E,Flight,4,2,796.32,7,high,Female,4.45,2445,0
135,C,Road,2,1,79.13,7,low,Male,24.66,3827,0
136,C,Ship,1,3,658.69,13,low,Male,23.27,1208,1
137,D,Ship,7,1,680.37,12,high,Male,13.92,3087,0
138,B,Flight,9,3,496.51,9,high,Male,15.67,3460,1
139,B,Ship,8,5,690.22,16,high,Female,13.09,4363,0
140,E,Ship,9,4,923.95,5,medium,Male,16.53,2143,1
141,A,Road,8,5,736.52,19,medium,Female,21.98,4683,0
142,E,Road,4,5,961.68,13,medium,Female,26.28,639,0
143,D,Flight,8,3,454.13,7,low,Female,17.77,1793,0
144,D,Flight,3,2,533.01,6,low,Female,3.77,529,0
145,D,Flight,1,4,271.1,4,low,Female,23.16,945,0
146,D,Road,2,5,985.75,5,high,Male,11.17,3262,1
147,D,Ship,0,1,64.59,7,medium,Male,18.9,4971,0
148,C,Road,4,4,365.03,2,low,Female,5.96,654,0
149,B,Road,0,2,304.72,8,high,Female,4.9,2948,0
150,D,Ship,0,4,392.65,9,medium,Male,1.58,925,1
151,A,Ship,6,5,918.54,0,medium,Male,9.43,2578,0
152,A,Flight,1,1,374.36,6,high,Female,17.91,2454,0
153,A,Ship,7,5,917.81,19,low,Male,9.56,2560,0
154,A,Ship,5,2,429.11,5,medium,Female,7.23,2163,1
155,C,Ship,3,3,856.22,12,low,Female,29.85,1447,1
156,A,Ship,8,1,526.53,6,low,Male,29.97,1103,0
157,D,Flight,9,2,318.24,7,low,Female,18.15,4342,0
158,E,Flight,7,2,454.86,4,low,Male,9.71,3790,0
159,A,Ship,9,5,430.14,11,low,Male,25.85,778,1
160,C,Ship,2,5,267.31,5,low,Female,22.1,641,0
161,C,Flight,2,5,296.74,14,low,Female,18.48,1151,0
162,A,Flight,3,3,194.59,3,high,Female,27.25,1874,0
163,E,Ship,8,4,342.64,16,low,Male,13.36,166,0
164,A,Road,8,4,628.16,13,low,Female,7.66,3747,0
165,C,Flight,4,5,392.69,6,medium,Male,29.01,4765,0
166,B,Flight,8,5,715.2,12,medium,Male,25.81,1094,0
167,D,Flight,5,3,987.11,9,low,Female,27.36,4704,1
168,C,Ship,7,4,383.33,17,medium,Male,27.55,2983,1
169,A,Ship,7,3,468.01,1,high,Female,11.48,3497,0
170,D,Flight,9,2,172.47,11,high,Female,25.82,100,0
171,A,Ship,6,4,398.29,12,high,Male,26.68,1339,0
172,A,Ship,3,5,729.56,6,medium,Female,16.43,3443,0
173,B,Flight,3,1,225.23,17,high,Female,18.76,4565,0
174,D,Ship,5,2,190.23,10,high,Female,17.32,1660,0
175,D,Road,8,1,382.61,9,medium,Female,0.48,492,1
176,B,Ship,6,3,820.46,5,low,Female,16.07,298,1
177,C,Ship,4,3,627.42,13,low,Female,1.14,4746,0
178,A,Flight,4,3,958.0,19,low,Female,13.53,4154,0
179,E,Flight,7,5,905.5,4,medium,Male,1.37,742,0
180,A,Road,5,3,159.63,19,low,Female,13.66,614,0
181,A,Ship,0,1,52.13,5,high,Female,9.14,3498,1
182,C,Road,0,2,405.1,8,low,Male,23.22,1586,0
183,A,Road,8,5,526.86,4,high,Female,14.37,3386,0
184,B,Flight,7,2,520.41,4,low,Female,15.36,4061,1
185,B,Ship,5,3,142.77,18,low,Male,27.11,4328,0
186,D,Flight,0,4,133.57,12,low,Female,14.47,1462,0
187,E,Road,1,5,56.39,4,medium,Male,4.69,2106,0
188,A,Road,9,3,852.35,13,low,Female,3.38,4735,0
189,A,Flight,2,5,948.27,1,high,Male,9.17,4204,0
190,C,Flight,9,4,124.53,4,high,Female,7.96,2146,0
191,B,Flight,2,1,220.99,11,low,Male,24.55,2584,1
192,E,Flight,1,1,98.96,19,medium,Male,22.77,1867,0
193,D,Flight,1,1,878.73,6,low,Male,1.76,2418,1
194,B,Road,5,4,959.12,2,low,Female,6.03,4818,0
195,D,Flight,6,2,269.18,8,high,Male,13.46,4568,0
196,C,Ship,3,4,310.55,14,medium,Female,2.62,594,1
197,C,Road,0,4,369.04,14,high,Male,4.99,1609,0
198,A,Road,5,3,507.44,7,medium,Female,27.25,2906,0
199,E,Ship,6,1,685.64,15,low,Male,16.24,2773,1
200,D,Ship,3,5,509.35,1,high,Male,23.9,4309,0
201,B,Road,5,2,951.49,19,low,Male,9.92,1345,0
202,C,Flight,8,5,108.89,0,low,Male,11.24,822,0
203,A,Road,3,3,800.62,3,high,Female,25.75,2717,0
204,A,Road,9,3,341.14,3,low,Female,19.72,2495,0
205,D,Ship,3,2,383.77,5,medium,Male,20.35,4218,1
206,C,Road,9,5,711.74,2,low,Male,19.17,571,0
207,E,Flight,4,2,930.08,7,medium,Female,16.23,4183,0
208,C,Ship,2,2,719.04,1,low,Female,29.73,1629,1
209,D,Road,9,1,778.1,16,medium,Female,26.83,686,1
210,D,Road,1,5,753.27,11,high,Male,21.33,3186,0
211,C,Flight,8,1,327.77,11,low,Female,20.34,489,1
212,D,Road,0,1,759.36,14,high,Male,2.53,2138,0
213,C,Road,4,1,786.68,17,high,Female,14.56,4226,0
214,B,Road,4,4,538.07,8,medium,Male,14.88,878,0
215,C,Road,7,3,541.39,4,low,Female,1.56,4007,0
216,C,Flight,5,3,762.12,2,high,Male,22.67,1074,0
217,D,Road,5,4,818.86,16,low,Male,0.06,979,0
218,D,Road,5,2,343.82,11,medium,Female,12.76,4987,1
219,A,Road,3,5,803.55,13,high,Female,27.1,3953,0
220,A,Ship,0,5,816.07,7,medium,Male,10.21,3195,0
221,B,Flight,2,5,241.78,8,high,Female,17.48,4026,0
222,A,Ship,9,1,719.78,1,medium,Male,9.24,1192,0
223,C,Ship,5,5,194.67,1,low,Male,5.37,2770,0
224,D,Flight,4,5,102.12,15,high,Male,21.9,3837,0
225,A,Ship,9,5,578.8,19,high,Female,6.14,2241,1
226,A,Ship,0,3,909.57,10,low,Female,2.17,3785,0
227,B,Ship,4,4,45.1,19,high,Male,13.05,3731,0
228,B,Flight,1,2,828.24,9,medium,Male,21.27,349,0
229,C,Road,0,4,511.41,7,high,Male,17.4,3990,0
230,D,Flight,3,5,862.29,6,high,Female,7.33,3622,0
231,B,Flight,5,2,845.04,0,high,Male,24.53,3573,0
232,A,Flight,6,2,876.53,9,medium,Male,2.91,3670,1
233,D,Ship,8,4,771.19,18,low,Male,20.11,127,1
234,D,Road,4,4,844.56,4,medium,Male,18.2,3201,0
235,A,Flight,7,4,184.26,7,medium,Female,26.97,4652,0
236,B,Flight,7,4,310.81,8,high,Male,15.81,1572,0
237,A,Road,8,1,250.06,12,high,Male,24.57,2951,0
238,D,Road,2,3,745.0,13,low,Male,6.46,3676,0
239,E,Road,2,3,162.11,5,high,Male,16.36,161,0
240,E,Ship,8,5,190.41,10,medium,Female,15.98,1309,0
241,C,Road,6,1,880.18,8,high,Male,8.86,681,0
242,A,Ship,3,2,708.82,12,high,Female,0.15,3296,1
243,A,Flight,0,4,876.63,3,low,Male,22.33,1961,0
244,C,Ship,6,5,147.96,1,medium,Female,11.9,2015,0
245,C,Road,9,2,404.99,1,medium,Male,9.0,2595,0
246,C,Ship,5,3,290.32,12,low,Female,5.82,569,1
247,D,Road,2,2,19.58,18,medium,Female,25.55,1142,1
248,A,Ship,4,4,291.68,0,medium,Female,10.02,3883,0
249,D,Flight,2,4,385.79,5,high,Female,6.12,2467,0
250,C,Ship,7,3,101.3,7,low,Male,15.7,1851,1
251,A,Flight,4,4,570.82,16,low,Female,23.46,652,0
252,D,Road,9,1,389.34,2,high,Male,18.07,1302,0
253,D,Flight,9,5,56.0,5,low,Male,28.81,2656,0
254,C,Road,5,3,706.94,18,low,Male,28.7,171,0
255,A,Road,1,3,731.99,6,high,Male,27.07,4926,0
256,C,Flight,7,2,836.13,14,high,Male,16.95,4942,0
257,A,Flight,8,3,490.69,5,medium,Female,23.05,1382,0
258,E,Ship,2,5,968.97,17,medium,Male,8.66,244,0
259,B,Ship,5,1,914.92,9,high,Female,17.26,1618,0
260,B,Flight,5,2,555.84,3,low,Male,1.99,3241,0
261,B,Flight,1,5,450.5,4,high,Male,7.9,1021,0
262,C,Flight,9,3,13.0,17,high,Female,9.76,3347,1
263,E,Flight,7,4,713.88,9,high,Male,10.84,4279,0
264,A,Road,4,4,569.3,9,medium,Female,4.83,381,1
265,D,Flight,7,5,938.17,9,high,Male,2.5,2521,0
266,A,Flight,7,1,598.29,6,low,Female,17.35,2131,0
267,D,Flight,2,4,992.93,19,high,Male,14.74,541,0
268,A,Flight,4,5,855.28,13,high,Female,17.54,2940,0
269,E,Road,6,2,954.06,7,high,Female,3.88,3954,0
270,D,Ship,4,3,334.39,8,medium,Female,28.43,4803,0
271,C,Ship,5,1,157.84,4,low,Male,12.4,4931,0
272,A,Ship,1,1,798.9,7,low,Female,13.48,1658,1
273,A,Ship,7,2,788.34,19,medium,Male,16.41,704,1
274,D,Ship,4,1,219.33,4,medium,Female,20.7,4641,0
275,C,Road,5,5,767.1,19,medium,Male,11.55,2177,1
276,C,Ship,0,1,586.15,17,low,Male,4.29,2739,0
277,E,Road,9,1,118.43,3,low,Male,23.49,3684,0
278,C,Road,1,1,506.77,10,high,Male,7.82,3376,0
279,C,Ship,3,5,931.83,19,low,Female,13.29,4103,0
280,C,Ship,8,3,511.39,10,medium,Female,18.97,1380,0
281,B,Ship,5,4,790.81,13,low,Female,28.96,4601,1
282,E,Flight,7,1,38.62,12,low,Female,1.01,4040,0
283,A,Road,1,2,730.8,3,low,Male,15.57,2112,0
284,D,Ship,9,2,947.37,15,low,Female,28.08,3745,1
285,A,Flight,4,5,504.53,5,high,Male,7.65,3763,0
286,E,Road,0,3,344.33,12,medium,Female,3.37,2703,0
287,D,Flight,3,1,650.18,19,low,Male,17.91,2156,0
288,E,Flight,9,5,917.1,4,medium,Male,4.57,2169,0
289,C,Ship,0,4,185.0,18,medium,Male,26.37,780,0
290,D,Road,8,3,409.66,9,low,Male,21.7,357,1
291,C,Flight,1,3,164.73,4,high,Male,3.63,4324,0
292,A,Road,6,5,501.69,13,high,Male,17.32,1133,1
293,A,Ship,2,2,545.02,3,high,Male,0.81,3782,0
294,D,Road,1,3,944.76,5,low,Male,25.36,3771,0
295,D,Flight,3,2,418.39,4,low,Female,6.16,277,1
296,E,Flight,6,3,571.29,1,low,Male,21.95,847,1
297,E,Road,6,3,886.41,5,low,Female,3.19,3602,0
298,C,Flight,8,3,328.19,1,low,Female,14.17,2833,1
299,D,Flight,2,4,677.42,11,medium,Male,27.88,3885,0
300,A,Flight,6,2,759.59,3,medium,Female,2.23,3063,0
301,E,Ship,5,4,337.22,12,low,Female,8.86,727,0
302,E,Ship,9,2,172.7,16,high,Female,23.48,4911,0
303,A,Flight,6,4,507.88,5,medium,Male,13.9,287,0
304,E,Road,6,4,363.23,2,low,Female,19.51,929,0
305,C,Ship,9,4,273.8,12,low,Male,24.36,1856,0
306,D,Road,4,5,973.69,2,medium,Male,23.52,1278,1
307,A,Flight,8,4,507.13,19,medium,Female,11.86,2112,0
308,D,Flight,6,3,857.91,8,low,Male,12.92,2460,0
309,E,Road,6,1,203.36,3,high,Female,17.13,3495,0
310,E,Ship,2,4,940.05,1,low,Male,3.68,3882,0
311,A,Road,0,1,796.49,4,medium,Female,26.09,3484,0
312,C,Road,4,1,810.61,7,medium,Male,2.8,142,0
313,B,Flight,7,3,395.87,1,low,Female,5.54,623,1
314,A,Ship,4,1,490.78,4,medium,Female,28.34,4286,0
315,B,Road,9,1,597.42,5,low,Male,8.46,4633,0
316,B,Ship,2,1,791.87,6,high,Female,7.33,3257,0
317,C,Flight,8,2,850.57,12,high,Male,12.76,1709,0
318,B,Ship,1,4,87.26,8,low,Male,21.73,3096,0
319,B,Flight,2,4,905.02,6,medium,Male,10.99,4023,1
320,C,Ship,3,1,938.12,3,medium,Male,26.24,387,0
321,B,Road,9,3,596.96,4,high,Female,4.48,4407,1
322,B,Flight,0,2,194.88,2,medium,Female,3.54,3560,0
323,B,Road,3,3,820.23,16,medium,Female,2.32,4414,0
324,A,Flight,3,3,553.1,18,low,Female,8.95,445,0
325,A,Ship,8,1,819.02,12,high,Male,5.99,1134,0
326,A,Ship,7,5,816.66,0,high,Male,13.84,4815,1
327,C,Flight,1,1,95.86,4,low,Male,29.87,4855,1
328,E,Flight,6,5,610.95,8,low,Female,26.06,2190,0
329,B,Flight,5,2,488.31,3,high,Female,26.85,681,1
330,B,Ship,6,5,946.66,9,high,Male,24.92,1296,1
331,C,Flight,3,1,303.67,13,low,Male,8.15,2514,0
332,B,Flight,4,1,213.94,9,high,Male,6.79,1957,0
333,A,Road,5,3,898.12,0,high,Male,21.96,3361,0
334,E,Flight,8,1,157.23,18,medium,Male,17.97,2842,0
335,D,Road,1,1,689.65,16,high,Male,6.18,3593,1
336,B,Road,8,4,307.02,19,low,Female,29.02,960,0
337,A,Road,9,4,572.17,14,medium,Female,12.73,2948,1
338,D,Ship,0,3,620.06,5,medium,Male,24.43,4107,1
339,E,Road,3,5,423.2,6,high,Female,2.21,1979,0
340,D,Flight,4,5,975.22,0,medium,Female,1.05,4364,1
341,A,Ship,8,4,140.51,4,low,Female,13.67,1000,1
342,D,Ship,5,2,397.49,19,low,Female,3.58,999,0
343,C,Ship,3,4,436.09,19,high,Male,29.38,3390,0
344,D,Ship,1,2,634.74,6,high,Male,24.36,2648,1
345,B,Ship,4,5,413.19,1,low,Female,13.62,4344,0
346,B,Ship,7,4,106.07,2,low,Male,29.39,2414,0
347,C,Ship,7,1,947.96,1,high,Female,7.15,113,0
348,A,Road,5,2,421.92,15,low,Male,20.37,1373,1
349,B,Flight,0,2,349.25,16,high,Male,0.53,519,0
350,E,Flight,7,2,452.25,11,medium,Female,11.17,4776,1
351,B,Road,3,5,224.43,4,medium,Male,2.38,3524,0
352,B,Road,1,3,109.22,3,high,Male,11.02,3279,0
353,A,Ship,0,1,157.09,15,high,Male,11.42,3098,0
354,D,Ship,6,4,174.99,17,high,Female,11.26,4630,0
355,B,Road,1,2,205.7,12,low,Female,12.43,296,1
356,C,Ship,3,5,425.76,19,high,Female,18.51,431,0
357,D,Flight,3,2,627.66,8,high,Male,5.68,2940,1
358,E,Flight,9,4,632.6,15,medium,Male,7.03,705,0
359,A,Ship,0,1,10.1,2,high,Female,19.36,1427,0
360,E,Ship,1,2,921.75,16,high,Female,13.99,2110,0
361,D,Ship,0,5,824.62,19,medium,Female,4.86,3137,0
362,D,Flight,5,5,964.3,9,low,Female,23.62,4100,0
363,D,Ship,2,3,366.39,19,high,Male,27.93,4853,0
364,E,Road,0,5,668.15,3,high,Male,13.96,1636,1
365,D,Ship,7,3,176.34,0,high,Male,18.42,681,0
366,E,Road,3,1,818.86,15,high,Male,24.46,1768,0
367,D,Ship,9,4,169.75,10,medium,Female,28.91,614,1
368,C,Ship,6,3,332.73,18,medium,Female,29.07,701,1
369,D,Flight,9,2,495.93,7,medium,Female,27.69,1577,0
370,E,Road,1,2,598.59,4,high,Male,24.48,3950,0
371,B,Road,5,4,564.04,7,low,Female,12.77,1966,0
372,D,Road,5,5,111.08,17,high,Female,20.09,1419,0
373,B,Flight,6,2,427.46,14,high,Female,22.9,4297,0
374,C,Road,0,3,923.68,17,low,Male,2.76,3235,1
375,A,Flight,0,4,873.64,12,high,Female,3.49,1715,1
376,C,Ship,1,2,594.88,14,medium,Female,21.16,2871,0
377,D,Ship,1,5,576.6,12,medium,Male,20.01,2231,0
378,B,Road,4,5,120.56,2,low,Male,24.12,2621,0
379,B,Ship,0,2,208.26,11,medium,Female,5.54,2374,0
380,E,Ship,1,4,260.11,11,low,Female,28.1,2403,0
381,B,Road,5,1,493.31,9,low,Female,7.15,4432,0
382,E,Ship,2,2,734.04,0,high,Male,4.05,4685,1
383,A,Road,3,5,466.12,5,medium,Male,9.73,2812,0
384,D,Road,0,1,134.8,18,low,Female,24.26,1803,0
385,E,Ship,4,4,444.96,12,high,Male,0.85,636,1
386,A,Ship,3,5,171.01,0,low,Male,6.8,4205,0
387,B,Ship,7,4,753.64,18,medium,Male,28.67,464,0
388,B,Ship,2,2,174.84,5,medium,Female,0.51,4870,0
389,A,Ship,9,4,487.71,0,high,Male,8.35,2430,0
390,B,Flight,0,5,696.48,16,low,Male,9.77,4191,0
391,A,Ship,9,2,235.92,16,medium,Female,27.72,512,0
392,E,Flight,4,5,85.27,10,medium,Male,25.54,454,0
393,E,Road,0,5,567.67,19,medium,Female,13.8,2296,1
394,A,Ship,4,1,63.66,11,medium,Male,9.53,268,1
395,E,Ship,8,3,591.89,12,medium,Female,28.33,4342,0
396,E,Ship,4,4,755.96,17,low,Male,5.65,1615,1
397,E,Road,1,4,336.02,0,low,Male,14.3,4489,0
398,C,Flight,1,1,493.47,2,high,Male,12.55,4772,1
399,D,Flight,9,4,929.47,16,medium,Male,28.06,203,0
400,B,Ship,8,1,476.4,6,high,Female,22.67,2742,0
401,C,Ship,4,4,996.59,16,low,Male,13.9,1171,1
402,E,Ship,7,4,165.43,15,low,Male,18.21,2411,0
403,A,Ship,9,5,711.84,11,high,Male,27.23,4907,0
404,E,Road,3,1,656.09,7,low,Female,24.94,2758,1
405,D,Ship,1,4,873.58,10,medium,Male,18.46,4504,0
406,E,Road,3,3,101.52,2,medium,Male,27.46,3042,0
407,A,Ship,3,1,287.4,11,low,Male,11.41,2263,0
408,D,Flight,8,1,140.86,3,medium,Female,22.0,2719,0
409,E,Flight,9,1,933.76,8,high,Male,0.48,4641,1
410,D,Ship,5,5,432.37,16,low,Female,17.49,1582,0
411,B,Ship,9,1,910.97,15,high,Male,4.11,3568,0
412,B,Road,5,5,301.46,11,low,Male,15.73,4028,0
413,E,Ship,4,3,135.1,14,medium,Female,7.4,1942,0
414,D,Ship,5,2,303.57,14,medium,Male,11.42,4608,1
415,A,Ship,0,5,601.2,0,medium,Female,23.76,1213,0
416,E,Flight,4,4,846.78,2,medium,Female,1.76,470,0
417,B,Road,5,1,391.54,1,high,Female,16.12,1354,0
418,B,Flight,7,2,915.66,16,high,Male,4.35,1486,0
419,E,Road,3,5,251.79,11,low,Male,17.2,1676,0
420,D,Flight,4,4,696.61,4,medium,Female,19.01,4495,0
421,B,Ship,3,2,738.36,10,medium,Male,5.46,3305,0
422,D,Flight,6,3,281.22,18,high,Female,0.18,2011,0
423,B,Flight,9,5,36.7,14,medium,Male,2.56,1749,0
424,B,Road,5,5,371.58,6,medium,Female,20.69,2750,0
425,C,Road,3,3,54.74,7,medium,Female,11.4,3468,0
426,B,Flight,5,5,901.75,9,high,Male,11.19,1859,0
427,A,Road,3,1,953.99,5,high,Female,20.76,250,0
428,E,Road,7,5,738.03,14,medium,Female,14.91,137,0
429,E,Road,2,1,729.42,9,high,Male,19.11,1154,0
430,D,Road,7,5,248.48,16,medium,Male,27.58,4595,0
431,B,Road,1,4,83.19,5,low,Male,15.21,3806,0
432,A,Flight,5,4,804.08,18,medium,Female,19.14,998,0
433,D,Road,7,2,563.57,19,medium,Male,19.19,3251,1
434,C,Ship,0,4,684.81,19,low,Female,16.04,982,0
